sample_id,match_id,source_url,focus_athlete_id,partner_athlete_id,bundle_id,bundle_index,bundle_size,source_event_index,source_label,source_key,criterion_event_index,criterion_label,criterion_type,criterion_ts,frame_ts,frame_offset,response_event_index,response_label,response_key,leaf_label,family_label,category_label,visual_leaf_label,visual_family_label,visual_category_label,visual_label_collapsed,taxonomy_path
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0004_w0000_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:3:5,0,1,3,Sweep,sweep,4,Straight Foot Lock Attempt,submission,530.0,529.4,-0.6,5,Sweep,sweep,straight foot lock attempt,straight foot lock attempt,submission,straight foot lock,straight foot lock,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0004_w0000_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:3:5,0,1,3,Sweep,sweep,4,Straight Foot Lock Attempt,submission,530.0,529.7,-0.3,5,Sweep,sweep,straight foot lock attempt,straight foot lock attempt,submission,straight foot lock,straight foot lock,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0004_w0000_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:3:5,0,1,3,Sweep,sweep,4,Straight Foot Lock Attempt,submission,530.0,530.0,0.0,5,Sweep,sweep,straight foot lock attempt,straight foot lock attempt,submission,straight foot lock,straight foot lock,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0004_w0000_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:3:5,0,1,3,Sweep,sweep,4,Straight Foot Lock Attempt,submission,530.0,530.3,0.3,5,Sweep,sweep,straight foot lock attempt,straight foot lock attempt,submission,straight foot lock,straight foot lock,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0004_w0000_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:3:5,0,1,3,Sweep,sweep,4,Straight Foot Lock Attempt,submission,530.0,530.6,0.6,5,Sweep,sweep,straight foot lock attempt,straight foot lock attempt,submission,straight foot lock,straight foot lock,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0007_w0001_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,0,8,6,Sweep,sweep,7,Knee Bar,submission,650.0,649.4,-0.6,15,Sweep,sweep,knee bar,knee bar,submission,knee bar,knee bar,submission,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0007_w0001_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,0,8,6,Sweep,sweep,7,Knee Bar,submission,650.0,649.7,-0.3,15,Sweep,sweep,knee bar,knee bar,submission,knee bar,knee bar,submission,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0007_w0001_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,0,8,6,Sweep,sweep,7,Knee Bar,submission,650.0,650.0,0.0,15,Sweep,sweep,knee bar,knee bar,submission,knee bar,knee bar,submission,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0007_w0001_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,0,8,6,Sweep,sweep,7,Knee Bar,submission,650.0,650.3,0.3,15,Sweep,sweep,knee bar,knee bar,submission,knee bar,knee bar,submission,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0007_w0001_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,0,8,6,Sweep,sweep,7,Knee Bar,submission,650.0,650.6,0.6,15,Sweep,sweep,knee bar,knee bar,submission,knee bar,knee bar,submission,False,[]
