start,end,duration,samples,track_id,athlete_id,role,position
3542.0,3543.0,1.0,1,track_0,,unknown,unknown
3542.0,3543.0,1.0,1,track_1,,unknown,unknown
3543.0,3544.0,1.0,1,track_0,,unknown,unknown
3543.0,3544.0,1.0,1,track_1,,unknown,unknown
3544.0,3545.0,1.0,1,track_0,,unknown,unknown
3544.0,3545.0,1.0,1,track_1,,unknown,unknown
3545.0,3546.0,1.0,1,track_0,,unknown,unknown
3545.0,3546.0,1.0,1,track_1,,unknown,unknown
3546.0,3547.0,1.0,1,track_0,,unknown,unknown
3546.0,3547.0,1.0,1,track_1,,unknown,unknown
3547.0,3548.0,1.0,1,track_0,,unknown,unknown
3547.0,3548.0,1.0,1,track_1,,unknown,unknown
3548.0,3549.0,1.0,1,track_0,,unknown,unknown
3548.0,3549.0,1.0,1,track_1,,unknown,unknown
3549.0,3550.0,1.0,1,track_0,,unknown,unknown
3549.0,3550.0,1.0,1,track_1,,unknown,unknown
3550.0,3551.0,1.0,1,track_0,,top,back
3550.0,3551.0,1.0,1,track_1,,unknown,unknown
3551.0,3552.0,1.0,1,track_0,,unknown,unknown
3551.0,3552.0,1.0,1,track_1,,unknown,unknown
3552.0,3553.0,1.0,1,track_0,,top,back
3552.0,3553.0,1.0,1,track_1,,unknown,unknown
3553.0,3554.0,1.0,1,track_0,,unknown,unknown
3553.0,3554.0,1.0,1,track_1,,unknown,unknown
3554.0,3555.0,1.0,1,track_0,,unknown,unknown
3554.0,3555.0,1.0,1,track_1,,unknown,unknown
3555.0,3556.0,1.0,1,track_0,,unknown,unknown
3555.0,3556.0,1.0,1,track_1,,unknown,unknown
3556.0,3557.0,1.0,1,track_0,,unknown,unknown
3556.0,3557.0,1.0,1,track_1,,unknown,unknown
3557.0,3558.0,1.0,1,track_0,,unknown,unknown
3557.0,3558.0,1.0,1,track_1,,unknown,unknown
3558.0,3559.0,1.0,1,track_0,,top,back
3558.0,3559.0,1.0,1,track_1,,unknown,unknown
3559.0,3560.0,1.0,1,track_0,,top,back
3559.0,3560.0,1.0,1,track_1,,unknown,unknown
3560.0,3561.0,1.0,1,track_0,,bottom,back
