start,end,duration,samples,position,symmetric,top_track_id,top_athlete_id,bottom_track_id,bottom_athlete_id
3542.0,3550.0,8.0,8,unknown,False,,,,
3550.0,3551.0,1.0,1,back,False,track_0,,,
3551.0,3552.0,1.0,1,unknown,False,,,,
3552.0,3553.0,1.0,1,back,False,track_0,,,
3553.0,3558.0,5.0,5,unknown,False,,,,
3558.0,3560.0,2.0,2,back,False,track_0,,,
3560.0,3561.0,1.0,1,back,False,,,track_0,
3561.0,3576.0,15.0,15,unknown,False,,,,
3576.0,3578.0,2.0,2,back,False,track_0,,,
3578.0,3584.0,6.0,6,unknown,False,,,,
3584.0,3587.0,3.0,3,standing,True,,,,
3587.0,3605.0,18.0,18,unknown,False,,,,
3605.0,3606.0,1.0,1,back,False,track_0,,,
3606.0,3609.0,3.0,3,unknown,False,,,,
3609.0,3611.0,2.0,2,standing,True,,,,
3611.0,3629.0,18.0,18,unknown,False,,,,
3629.0,3630.0,1.0,1,back,False,track_0,,,
3630.0,3631.0,1.0,1,unknown,False,,,,
3631.0,3632.0,1.0,1,back,False,track_0,,,
3632.0,3639.0,7.0,7,unknown,False,,,,
3639.0,3640.0,1.0,1,standing,True,,,,
3640.0,3655.0,15.0,15,unknown,False,,,,
3655.0,3657.0,2.0,2,standing,True,,,,
3657.0,3662.0,5.0,5,unknown,False,,,,
3662.0,3663.0,1.0,1,back,False,track_0,,,
3663.0,3664.0,1.0,1,unknown,False,,,,
3664.0,3665.0,1.0,1,back,False,track_0,,,
3665.0,3667.0,2.0,2,unknown,False,,,,
3667.0,3670.0,3.0,3,standing,True,,,,
3670.0,3687.0,17.0,17,unknown,False,,,,
3687.0,3688.0,1.0,1,back,False,track_0,,,
3688.0,3708.0,20.0,20,unknown,False,,,,
3708.0,3709.0,1.0,1,back,False,track_0,,,
3709.0,3748.0,39.0,39,unknown,False,,,,
3748.0,3749.0,1.0,1,back,False,track_0,,,
3749.0,3751.0,2.0,2,unknown,False,,,,
3751.0,3753.0,2.0,2,back,False,track_0,,,
3753.0,3756.0,3.0,3,unknown,False,,,,
3756.0,3757.0,1.0,1,back,False,track_0,,,
3757.0,3759.0,2.0,2,unknown,False,,,,
3759.0,3760.0,1.0,1,back,False,track_0,,,
3760.0,3790.0,30.0,30,unknown,False,,,,
3790.0,3791.0,1.0,1,standing,True,,,,
3791.0,3792.0,1.0,1,unknown,False,,,,
3792.0,3794.0,2.0,2,standing,True,,,,
3794.0,3811.0,17.0,17,unknown,False,,,,
3811.0,3812.0,1.0,1,back,False,track_0,,,
3812.0,3819.0,7.0,7,unknown,False,,,,
3819.0,3821.0,2.0,2,back,False,track_0,,,
3821.0,3822.0,1.0,1,unknown,False,,,,
3822.0,3824.0,2.0,2,back,False,track_0,,,
3824.0,3837.0,13.0,13,unknown,False,,,,
3837.0,3838.0,1.0,1,standing,True,,,,
3838.0,3839.0,1.0,1,unknown,False,,,,
3839.0,3840.0,1.0,1,standing,True,,,,
3840.0,3866.0,26.0,26,unknown,False,,,,
3866.0,3868.0,2.0,2,back,False,track_0,,,
3868.0,3870.0,2.0,2,unknown,False,,,,
3870.0,3871.0,1.0,1,takedown,False,track_0,,,
3871.0,3872.0,1.0,1,unknown,False,,,,
3872.0,3873.0,1.0,1,standing,True,,,,
3873.0,3874.0,1.0,1,takedown,False,,,track_0,
3874.0,3907.0,33.0,33,unknown,False,,,,
3907.0,3909.0,2.0,2,back,False,track_0,,,
3909.0,3910.0,1.0,1,unknown,False,,,,
3910.0,3911.0,1.0,1,back,False,track_0,,,
3911.0,3915.0,4.0,4,unknown,False,,,,
3915.0,3916.0,1.0,1,open guard,False,,,track_0,
3916.0,3920.0,4.0,4,unknown,False,,,,
3920.0,3921.0,1.0,1,standing,True,,,,
3921.0,3949.0,28.0,28,unknown,False,,,,
3949.0,3951.0,2.0,2,back,False,track_0,,,
3951.0,3952.0,1.0,1,unknown,False,,,,
3952.0,3953.0,1.0,1,standing,True,,,,
3953.0,3954.0,1.0,1,unknown,False,,,,
3954.0,3956.0,2.0,2,standing,True,,,,
3956.0,3959.0,3.0,3,unknown,False,,,,
3959.0,3960.0,1.0,1,back,False,track_0,,,
3960.0,3992.0,32.0,32,unknown,False,,,,
3992.0,3993.0,1.0,1,standing,True,,,,
3993.0,4009.0,16.0,16,unknown,False,,,,
4009.0,4010.0,1.0,1,standing,True,,,,
4010.0,4023.0,13.0,13,unknown,False,,,,
4023.0,4024.0,1.0,1,standing,True,,,,
4024.0,4044.0,20.0,20,unknown,False,,,,
4044.0,4045.0,1.0,1,back,False,track_0,,,
4045.0,4052.0,7.0,7,unknown,False,,,,
4052.0,4054.0,2.0,2,back,False,track_0,,,
4054.0,4057.0,3.0,3,unknown,False,,,,
4057.0,4058.0,1.0,1,back,False,track_0,,,
4058.0,4071.0,13.0,13,unknown,False,,,,
4071.0,4072.0,1.0,1,back,False,track_0,,,
4072.0,4078.0,6.0,6,unknown,False,,,,
4078.0,4079.0,1.0,1,back,False,track_0,,,
4079.0,4082.0,3.0,3,unknown,False,,,,
4082.0,4084.0,2.0,2,back,False,track_0,,,
4084.0,4088.0,4.0,4,unknown,False,,,,
4088.0,4089.0,1.0,1,standing,True,,,,
4089.0,4143.0,54.0,54,unknown,False,,,,
4143.0,4144.0,1.0,1,takedown,False,,,track_0,
4144.0,4146.0,2.0,2,unknown,False,,,,
4146.0,4147.0,1.0,1,standing,True,,,,
4147.0,4203.0,56.0,56,unknown,False,,,,
4203.0,4204.0,1.0,1,standing,True,,,,
4204.0,4220.0,16.0,16,unknown,False,,,,
4220.0,4221.0,1.0,1,standing,True,,,,
4221.0,4237.0,16.0,16,unknown,False,,,,
4237.0,4239.0,2.0,2,open guard,False,,,track_0,
4239.0,4252.0,13.0,13,unknown,False,,,,
4252.0,4253.0,1.0,1,takedown,False,,,track_0,
4253.0,4276.0,23.0,23,unknown,False,,,,
4276.0,4278.0,2.0,2,open guard,False,,,track_0,
4278.0,4280.0,2.0,2,unknown,False,,,,
4280.0,4285.0,5.0,5,open guard,False,,,track_0,
4285.0,4311.0,26.0,26,unknown,False,,,,
4311.0,4312.0,1.0,1,standing,True,,,,
4312.0,4317.0,5.0,5,unknown,False,,,,
4317.0,4318.0,1.0,1,standing,True,,,,
4318.0,4322.0,4.0,4,unknown,False,,,,
4322.0,4323.0,1.0,1,standing,True,,,,
4323.0,4356.0,33.0,33,unknown,False,,,,
4356.0,4357.0,1.0,1,open guard,False,,,track_0,
4357.0,4400.0,43.0,43,unknown,False,,,,
4400.0,4401.0,1.0,1,standing,True,,,,
4401.0,4436.0,35.0,35,unknown,False,,,,
4436.0,4437.0,1.0,1,standing,True,,,,
4437.0,4440.0,3.0,3,unknown,False,,,,
4440.0,4441.0,1.0,1,standing,True,,,,
4441.0,4442.0,1.0,1,unknown,False,,,,
4442.0,4443.0,1.0,1,standing,True,,,,
4443.0,4498.0,55.0,55,unknown,False,,,,
4498.0,4499.0,1.0,1,standing,True,,,,
4499.0,4525.0,26.0,26,unknown,False,,,,
4525.0,4528.0,3.0,3,open guard,False,,,track_0,
4528.0,4529.0,1.0,1,unknown,False,,,,
4529.0,4530.0,1.0,1,open guard,False,,,track_0,
4530.0,4531.0,1.0,1,unknown,False,,,,
4531.0,4532.0,1.0,1,standing,True,,,,
4532.0,4533.0,1.0,1,open guard,False,,,track_0,
4533.0,4570.0,37.0,37,unknown,False,,,,
4570.0,4571.0,1.0,1,takedown,False,,,track_0,
4571.0,4584.0,13.0,13,unknown,False,,,,
4584.0,4585.0,1.0,1,open guard,False,,,track_0,
4585.0,4586.0,1.0,1,unknown,False,,,,
4586.0,4587.0,1.0,1,open guard,False,,,track_0,
4587.0,4634.0,47.0,47,unknown,False,,,,
4634.0,4635.0,1.0,1,open guard,False,,,track_0,
4635.0,4645.0,10.0,10,unknown,False,,,,
4645.0,4646.0,1.0,1,open guard,False,,,track_0,
4646.0,4647.0,1.0,1,standing,True,,,,
4647.0,4648.0,1.0,1,takedown,False,,,track_0,
4648.0,4654.0,6.0,6,unknown,False,,,,
4654.0,4656.0,2.0,2,takedown,False,,,track_0,
4656.0,4676.0,20.0,20,unknown,False,,,,
4676.0,4677.0,1.0,1,takedown,False,,,track_0,
4677.0,4678.0,1.0,1,unknown,False,,,,
4678.0,4679.0,1.0,1,takedown,False,,,track_0,
4679.0,4704.0,25.0,25,unknown,False,,,,
4704.0,4705.0,1.0,1,back,False,track_0,,,
4705.0,4734.0,29.0,29,unknown,False,,,,
4734.0,4735.0,1.0,1,open guard,False,track_0,,,
4735.0,4736.0,1.0,1,open guard,False,,,track_0,
4736.0,4757.0,21.0,21,unknown,False,,,,
4757.0,4758.0,1.0,1,back,False,track_0,,,
4758.0,4759.0,1.0,1,unknown,False,,,,
4759.0,4760.0,1.0,1,back,False,track_0,,,
4760.0,4761.0,1.0,1,unknown,False,,,,
4761.0,4762.0,1.0,1,back,False,track_0,,,
4762.0,4771.0,9.0,9,unknown,False,,,,
4771.0,4775.0,4.0,4,standing,True,,,,
4775.0,4778.0,3.0,3,unknown,False,,,,
4778.0,4780.0,2.0,2,standing,True,,,,
4780.0,4782.0,2.0,2,unknown,False,,,,
4782.0,4792.0,10.0,10,standing,True,,,,
4792.0,4793.0,1.0,1,unknown,False,,,,
4793.0,4794.0,1.0,1,standing,True,,,,
4794.0,4797.0,3.0,3,unknown,False,,,,
4797.0,4799.0,2.0,2,standing,True,,,,
4799.0,4818.0,19.0,19,unknown,False,,,,
4818.0,4819.0,1.0,1,standing,True,,,,
4819.0,4828.0,9.0,9,unknown,False,,,,
4828.0,4829.0,1.0,1,takedown,False,,,track_0,
4829.0,4859.0,30.0,30,unknown,False,,,,
4859.0,4860.0,1.0,1,open guard,False,,,track_0,
4860.0,4939.0,79.0,79,unknown,False,,,,
