criterion_key,match_id,source_key,criterion_label,response_key,leaf_label,family_label,category_label,frame_count,pose_pair_rate
d68f7604-d0a1-454f-9e54-df6b2ba81a27:3:4:5,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Straight Foot Lock Attempt,sweep,straight foot lock,straight foot lock,submission,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:7:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Knee Bar,sweep,knee bar,knee bar,submission,5,0.6
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:8:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,0.8
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:9:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,0.2
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:10:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:11:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:12:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,0.2
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:13:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:14:15,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Mount,sweep,mount,mount,control,5,0.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:15:16:17,d68f7604-d0a1-454f-9e54-df6b2ba81a27,sweep,Triangle Attempt,closed guard,triangle attempt,triangle attempt,submission,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:17:18:24,d68f7604-d0a1-454f-9e54-df6b2ba81a27,closed guard,Armbar Attempt,half guard,armbar,arm-lock,submission,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:17:19:24,d68f7604-d0a1-454f-9e54-df6b2ba81a27,closed guard,Triangle Attempt,half guard,triangle attempt,triangle attempt,submission,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:17:20:24,d68f7604-d0a1-454f-9e54-df6b2ba81a27,closed guard,Triangle Attempt,half guard,triangle attempt,triangle attempt,submission,5,1.0
d68f7604-d0a1-454f-9e54-df6b2ba81a27:17:21:24,d68f7604-d0a1-454f-9e54-df6b2ba81a27,closed guard,Triangle Attempt,half guard,triangle attempt,triangle attempt,submission,5,1.0
