timestamp,position,role,state,pose_pair
3720.0,back,athlete1,open_guard2,True
3720.5,back,athlete1,open_guard2,True
3721.0,back,athlete1,back1,True
3721.5,back,athlete1,open_guard2,True
3722.0,back,athlete1,open_guard2,True
3722.5,back,athlete1,open_guard2,True
3723.0,back,athlete1,open_guard2,True
3723.5,takedown,athlete1,open_guard2,True
3724.0,takedown,athlete1,open_guard2,True
3724.5,turtle,athlete1,open_guard2,True
3725.0,back,athlete2,back1,True
3725.5,back,athlete2,open_guard2,True
3726.0,takedown,athlete1,open_guard2,True
3726.5,turtle,athlete1,open_guard2,True
3727.0,turtle,athlete1,open_guard2,True
3727.5,open_guard,athlete2,open_guard2,True
3728.0,unknown,unknown,unknown,False
3728.5,unknown,unknown,unknown,False
3729.0,open_guard,athlete1,open_guard2,True
3729.5,unknown,unknown,unknown,False
3730.0,unknown,unknown,unknown,False
3730.5,unknown,unknown,unknown,False
3731.0,unknown,unknown,unknown,False
3731.5,standing,none,standing,True
3732.0,standing,none,standing,True
3732.5,standing,none,standing,True
3733.0,standing,none,standing,True
3733.5,standing,none,standing,True
3734.0,standing,none,standing,True
3734.5,takedown,none,standing,True
3735.0,takedown,none,standing,True
3735.5,standing,none,standing,True
3736.0,standing,none,standing,True
3736.5,standing,none,standing,True
3737.0,standing,none,standing,True
3737.5,standing,none,standing,True
3738.0,standing,none,standing,True
3738.5,takedown,none,standing,True
3739.0,takedown,none,standing,True
3739.5,takedown,none,standing,True
3740.0,standing,none,mount1,True
3740.5,open_guard,none,takedown2,True
3741.0,open_guard,none,takedown2,True
3741.5,open_guard,none,takedown2,True
3742.0,open_guard,none,takedown2,True
3742.5,open_guard,none,takedown2,True
3743.0,takedown,none,open_guard2,True
3743.5,takedown,none,half_guard2,True
3744.0,open_guard,none,takedown1,True
3744.5,open_guard,none,takedown1,True
3745.0,takedown,none,takedown1,True
3745.5,turtle,none,open_guard2,True
3746.0,back,athlete1,open_guard2,True
3746.5,5050_guard,athlete2,5050_guard,True
3747.0,open_guard,athlete2,open_guard2,True
3747.5,open_guard,none,takedown2,True
3748.0,open_guard,none,5050_guard,True
3748.5,5050_guard,none,5050_guard,True
3749.0,open_guard,none,5050_guard,True
3749.5,open_guard,none,5050_guard,True
3750.0,open_guard,none,5050_guard,True
3750.5,open_guard,none,5050_guard,True
3751.0,open_guard,none,5050_guard,True
3751.5,takedown,none,takedown1,True
3752.0,open_guard,none,takedown1,True
3752.5,open_guard,athlete2,open_guard2,True
3753.0,takedown,none,takedown1,True
3753.5,closed_guard,athlete2,closed_guard2,True
3754.0,turtle,athlete1,5050_guard,True
3754.5,takedown,none,takedown2,True
3755.0,turtle,athlete1,5050_guard,True
3755.5,standing,none,standing,True
3756.0,unknown,unknown,unknown,False
3756.5,turtle,none,turtle1,True
3757.0,takedown,none,takedown2,True
3757.5,open_guard,none,5050_guard,True
3758.0,5050_guard,none,5050_guard,True
3758.5,open_guard,none,takedown2,True
3759.0,turtle,athlete1,back1,True
3759.5,open_guard,none,5050_guard,True
3760.0,unknown,unknown,unknown,False
3760.5,turtle,athlete2,5050_guard,True
3761.0,unknown,unknown,unknown,False
3761.5,unknown,unknown,unknown,False
