start,end,position,role,state,seconds
5292.0,5295.5,takedown,unknown,takedown1,3.5
5295.5,5298.0,unknown,athlete2,unknown,2.5
5298.0,5300.0,back,athlete2,closed_guard2,2.0
5300.0,5304.0,unknown,athlete2,unknown,4.0
5304.0,5307.5,turtle,athlete2,side_control1,3.5
5307.5,5311.0,unknown,athlete2,unknown,3.5
5311.0,5320.0,takedown,athlete2,takedown2,9.0
5320.0,5375.5,open_guard,athlete1,open_guard2,55.5
5375.5,5377.5,unknown,athlete2,unknown,2.0
5377.5,5389.0,standing,athlete2,standing,11.5
5389.0,5412.5,takedown,athlete2,takedown2,23.5
5412.5,5414.5,unknown,athlete2,unknown,2.0
5414.5,5424.5,standing,athlete2,standing,10.0
5424.5,5428.0,unknown,athlete1,unknown,3.5
5428.0,5447.5,standing,athlete1,standing,19.5
5447.5,5449.5,unknown,athlete2,unknown,2.0
5449.5,5468.5,standing,athlete2,standing,19.0
5468.5,5471.0,unknown,athlete2,unknown,2.5
5471.0,5482.0,back,athlete2,back2,11.0
5482.0,5484.5,unknown,athlete2,unknown,2.5
5484.5,5485.5,open_guard,athlete2,open_guard2,1.0
5485.5,5488.5,unknown,athlete2,unknown,3.0
5488.5,5491.5,5050_guard,athlete2,5050_guard,3.0
5491.5,5519.0,standing,athlete2,standing,27.5
5519.0,5535.0,unknown,athlete2,unknown,16.0
5535.0,5570.0,open_guard,athlete2,open_guard2,35.0
5570.0,5572.0,unknown,athlete2,unknown,2.0
5572.0,5572.5,standing,athlete2,standing,0.5
5572.5,5591.5,unknown,athlete2,unknown,19.0
