start,end,position,role,state,seconds
5292.0,5292.5,takedown,unknown,takedown1,0.5
5292.5,5295.5,takedown,athlete2,takedown1,3.0
5295.5,5298.0,unknown,athlete2,unknown,2.5
5298.0,5299.5,back,athlete2,closed_guard1,1.5
5299.5,5306.0,unknown,athlete2,unknown,6.5
5306.0,5307.0,turtle,athlete2,turtle2,1.0
5307.0,5312.5,unknown,athlete2,unknown,5.5
5312.5,5320.0,takedown,athlete2,takedown2,7.5
5320.0,5326.0,open_guard,athlete2,open_guard1,6.0
5326.0,5368.5,open_guard,athlete1,open_guard1,42.5
5368.5,5375.5,open_guard,athlete2,open_guard1,7.0
5375.5,5377.5,unknown,athlete2,unknown,2.0
5377.5,5389.0,standing,athlete2,standing,11.5
5389.0,5412.5,takedown,athlete2,takedown2,23.5
5412.5,5414.5,unknown,athlete2,unknown,2.0
5414.5,5424.5,takedown,athlete2,takedown2,10.0
5424.5,5428.0,unknown,athlete2,unknown,3.5
5428.0,5436.5,standing,athlete2,standing,8.5
5436.5,5447.5,standing,athlete1,standing,11.0
5447.5,5449.5,unknown,athlete1,unknown,2.0
5449.5,5461.5,open_guard,athlete1,open_guard2,12.0
5461.5,5468.5,standing,athlete2,standing,7.0
5468.5,5471.0,unknown,athlete2,unknown,2.5
5471.0,5481.5,5050_guard,athlete2,back1,10.5
5481.5,5484.5,unknown,athlete2,unknown,3.0
5484.5,5485.0,open_guard,athlete2,open_guard1,0.5
5485.0,5488.5,unknown,athlete2,unknown,3.5
5488.5,5495.0,5050_guard,athlete2,5050_guard,6.5
5495.0,5519.0,standing,athlete2,standing,24.0
5519.0,5535.0,unknown,athlete2,unknown,16.0
5535.0,5570.0,open_guard,athlete2,open_guard2,35.0
5570.0,5591.5,unknown,athlete2,unknown,21.5
